TOWARIDX;ACTIVE;PRODUCT_CODE;NAME;TAX_ID;UNIT;PRODUCER;CATEGORY
C17-HLB2-150-580-4K/BMK;1;C17-HLB2-150-580-4K/BMK;Oprawa hermetyczna LED Balwir 2 38W 6466-9280lm 4000K IP65 Bemko C17-HLB2-150-580-4K;1;szt;BEMKO;Bez kategorii
C49-LTW09/BMK;1;C49-LTW09/BMK;Latarka wielofunkcyjna LED 5-20W 2000lm 3000-6500K 6000mAh IP42 Bemko C49-LTW09;1;szt;BEMKO;Bez kategorii
C72BLS066420CCTWH/BMK;1;C72BLS066420CCTWH/BMK;Panel LED backlight Superior BLS 42W 4310-5620lm 3000-6500K 595x595mm IP20/IP65 biała Bemko C72-BLS-066-420-CCT-WH;1;szt;BEMKO;Bez kategorii
C72-BLO-066-340-4K-BL/BMK;1;C72-BLO-066-340-4K-BL/BMK;Panel LED backlight okrągły BLO NT 34W 4400lm 4000K 60cm IP40 czarny Bemko C72-BLO-066-340-4K-BL;1;szt;BEMKO;Bez kategorii
EP-501966/EAT;1;EP-501966/EAT;Ogranicznik przepięć PV DC Typ 2 2+PE SPPVRT2-10-2+PE 1000V Eaton EP-501966;1;szt;EATON;Bez kategorii
285345/EAT;1;285345/EAT;Rozdzielnica BF-O-3 72-P BF-O-3 415V 43x16 cm IP30 bialy EATON 285345;1;szt;EATON;Bez kategorii
284908/EAT;1;284908/EAT;Rozłącznik izolacyjny ZP-A63/3 3P 63A 400V IP40 Eaton 284908;1;szt;EATON;Bez kategorii
248439/EAT;1;248439/EAT;Wyzwalacz wzrostowy 110-415V AC/DC ZP-ASA/230 248439;1;szt;EATON;Bez kategorii
94252102/ELB;1;94252102/ELB;Pręt uziomowy Elkonomic z trzpieniem 1500mm fi16mm ELKO-BIS 94252102;1;szt;ELKO-BIS;Bez kategorii
93000411/ELB;1;93000411/ELB;Uchwyt plastikowy z obciążnikiem do drutu odgromowego średnica 8-10mm ELKO-BIS 93000411;1;szt;ELKO-BIS;Bez kategorii
95500201/ELB;1;95500201/ELB;Złącze krzyżowe 1-otworowe M10x35 do drutu średnica 8-10mm ELKO-BIS 95500201;1;szt;ELKO-BIS;Bez kategorii
10400120080/ELB;1;10400120080/ELB;Ogranicznik przepięć ESPAC V T12 4P 12,5/275 ELKO-BIS 10400120080;1;szt;ELKO-BIS;Bez kategorii
2465-00/EPN;1;2465-00/EPN;Rozdzielnica natynkowa ELEGANT RN 4x12 PE+N IP40 biała EPN 2465-00;1;szt;EPN;Bez kategorii
2465-50/EPN;1;2465-50/EPN;Rozdzielnica natynkowa ELEGANT TWIN RN 2x12 PE+N + 2x12 multimedialna IP40 biała EPN 2465-50;1;szt;EPN;Bez kategorii
39.999/EPO;1;39.999/EPO;Silikon elektroizolacyjny ELESIL GELEBOX 20kV/mm 100ml EPO 39.999;1;szt;EPO;Bez kategorii
