product_id;name;sku;ean;manufacturer_name;description;features;images_urls
251406937;Ramka podwójna biała R-2G/00 Ospel As;R-2G/00/OSP;5907577451868;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As jest synonimem dynamicznego wzornictwa oraz neutralnej kolorystyki. Będzie idealnie pasować do każdego wnętrza. Zastosowane doskonałej jakości materiały oraz ponadczasowy design czynią ramkę podwójną Ospel uniwersalną i niezastąpioną.</p>

<p>Ospel As ramka podwójna biała R-2G/00</p><p>Biała ramka podwójna z serii Ospel As idealnie sprawdzi się podczas każdego remontu i urządzania domu. Design oparty na kwadracie z wyraźnie zarysowanymi rogami będzie subtelnym elementem wyposażenia każdego wnętrza.  Seria zaprojektowana z myślą o ludziach ceniących klasykę i stonowaną kolorystykę. Ramka wykonana została z wyjątkowo trwałego tworzywa sztucznego oraz metalu z naturalnym wykończeniem powierzchni. Ramka podwójna Ospel As jest kompatybilna z innymi produktami serii As.</p><p>Dane techniczne produktu:</p>

 	<p> Stopień ochrony (IP): IP20</p>
 	<p>Materiał: Tworzywo sztuczne</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Szerokość osprzętu (mm): 155</p>
 	<p>Wysokość osprzętu (mm): 84</p>
 	<p>Głębokość osprzętu (mm): 10</p>
 	<p>Ilość w opakowaniu zbiorczym [szt.]: 10</p>
 	<p>Typ opakowania jednostkowego: Zawieszka</p>
 	<p>Wysokość opakowania jednostkowego (mm): 140</p>
 	<p>Szerokość opakowania jednostkowego (mm): 90</p>
 	<p>Waga wyrobu (kg): 0.03</p>
 	<p>Typ opakowania zbiorczego: Pudełko</p>
 	<p>Wysokość opakowania zbiorczego (mm): 90</p>
 	<p>Szerokość opakowania zbiorczego (mm): 162</p>
 	<p>Długość opakowania zbiorczego (mm): 237</p>
<p>&nbsp;

&nbsp;</p>
		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Rodzaj"":""podwójna"",""Marka"":""Ospel"",""EAN (GTIN)"":""5907577451868"",""Liczba gniazdek"":""2 gniazdka"",""Kolor"":""biały"",""Materiał"":""tworzywo sztuczne"",""Kod producenta"":""1""}";https://upload.cdn.baselinker.com/products/3006376/f9feb5e1fa24a97836df460a61f7a380.jpg
251406938;Ramka poczwórna biała R-4G/00 Ospel As;R-4G/00/OSP;5907577451882;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Produkty Ospel As gwarantują niezawodność instalacji elektrycznej. Doskonałej jakości  gniazdka, łączniki i ramki to uniwersalne rozwiązanie, które łączy w sobie interesujący wygląd oraz wyjątkową funkcjonalność. Produkty dostępne są w kilku stonowanych kolorach, które można ze sobą dowolnie miksować.</p><p>Ospel As ramka poczwórna biała R-4G/00</p><p>Dzięki ramce poczwórnej Ospel As  umieścisz w niej aż cztery różne produkty z serii Ospel As obok siebie. Ramkę można montować w zależności od potrzeb pionowo lub poziomo. Charakteryzuje je ciekawy design, który czyni produkt delikatnym detalem w wykończeniu wnętrza. Ramki serii As wykonane są z najwyższej jakości tworzywa sztucznego, dzięki czemu są odporne na uszkodzenia. Produkt kompatybilny z pozostałym asortymentem serii Ospel As.</p><p>Dane techniczne produktu</p>

 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Materiał: Tworzywo sztuczne</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Szerokość osprzętu (mm): 297</p>
 	<p>Wysokość osprzętu (mm): 84</p>
 	<p>Głębokość osprzętu (mm): 10</p>
 	<p>Kod EAN: 5907577451882</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Rodzaj"":""poczwórna"",""Marka"":""Ospel"",""Liczba gniazdek"":""więcej niż 3 gniazdka"",""Kolor"":""biały"",""Materiał"":""tworzywo sztuczne"",""Kod producenta"":""1"",""EAN (GTIN)"":""5907577451882""}";https://upload.cdn.baselinker.com/products/3006376/f9f1775065c106cb0f350f0a6c600d1d.jpg
251406939;Gniazdo podwójne z uziemieniem białe GP-2GRZ/M/00 Ospel As;GP-2GRZ/m/00/OSP;5907577451479;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As to połączenie dynamicznego wzornictwa oraz neutralnej kolorystyki. Pasuje do każdego wnętrza. Zastosowane doskonałej jakości materiały oraz ponadczasowy design czynią gniazda podwójne z uziemieniem Ospel uniwersalnymi i niezastąpionymi.</p>

<p>Ospel As gniazdo podwójne Z/U białe GP-2GRZ/M/00</p><p>Białe gniazdo podwójne z serii Ospel As podtynkowe idealnie sprawdzi się podczas każdego remontu i urządzania domu.  Nowatorski design z wyraźnie zarysowanymi rogami będzie delikatnym elementem wykończenia każdego wnętrza.  Seria zaprojektowana z myślą o ludziach stawiających na klasykę i stonowaną kolorystykę. Gniazdo wykonane zostało z bardzo trwałego tworzywa sztucznego oraz metalu z naturalnym wykończeniem powierzchni. Gniazdo podwójne z uziemieniem jest kompatybilne z ramkami serii Ospel As.</p><p>Dane techniczne produktu</p>

 	<p> Prąd znamionowy: 16A</p>
 	<p>Napięcie znamionowe: 250V</p>
 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 48</p>
 	<p>Głębokość wbudowania (mm): 22</p>
 	<p>Ilość w opakowaniu zbiorczym [szt.]: 10</p>
 	<p>Typ opakowania jednostkowego: Zawieszka</p>
 	<p>Wysokość opakowania jednostkowego (mm): 140</p>
 	<p>Szerokość opakowania jednostkowego (mm): 90</p>
 	<p>Waga wyrobu (kg): 0.083</p>
 	<p>Typ opakowania zbiorczego: Pudełko</p>
 	<p>Wysokość opakowania zbiorczego (mm): 90</p>
 	<p>Szerokość opakowania zbiorczego (mm): 162</p>
 	<p>Długość opakowania zbiorczego (mm): 290</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Przeznaczenie"":""Elektryczne"",""Marka"":""Ospel"",""Liczba gniazdek"":""2"",""Typ gniazda"":""Gniazdo"",""Uziemienie"":""Z uziemieniem"",""Kolor"":""biały"",""Rodzaj gniazda"":""ścienne"",""Kod producenta"":""GP-2GRZ/M/00"",""EAN (GTIN)"":""5907577451479""}";https://upload.cdn.baselinker.com/products/3006376/5a40cb2165c8d8de680c52272714a880.jpg
251406940;Gniazdo podwójne z uziemieniem z ramką białe GP-2GZ/00 Ospel As;GP-2GZ/00/OSP;5907577451431;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Ospel As jest połączeniem prostego wzornictwa ze stonowaną kolorystyką, która pasuje do każdego wnętrza.  Produkty wykonane są z  najwyższej  jakości tworzywa. Ponadczasowe wzornictwo oraz różnorodność produktów pozwoli wybrać asortyment dopasowany do indywidualnych potrzeb i gustu.</p>

<p>Ospel As gniazdo podwójne Z/U z ramką białe GP-2GZ/00</p><p>Gniazdo podwójne z uziemieniem komletne z ramką  Ospel As to wyjątkowo przydatny produkt podczas wykonywania instalacji elektrycznej.  Wzór oparty na kształcie kwadratu z bardzo wyraźnie zarysowanymi rogami to subtelny detal w każdym wnętrzu.  Kolekcja doskonała jeśli Twoim priorytetem jest niezawodność w dobrej cenie. Gniazdko wyprodukowane jest z wytrzymałego tworzywa sztucznego oraz metalu o naturalnym wykończeniu powierzchni. Gniazdko sprzedawane jest w zestawie z ramką, aby montaż był jeszcze wygodniejszy.</p><p>Dane techniczne produktu:</p>

 	<p>Prąd znamionowy: 16A</p>
 	<p>Napięcie znamionowe: 250V</p>
 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 84</p>
 	<p>Wysokość osprzętu (mm): 84</p>
 	<p>Głębokość osprzętu (mm): 45</p>
 	<p>Głębokość wbudowania (mm): 27</p>
 	<p>Kod EAN: 5907577451431</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Przeznaczenie"":""Elektryczne"",""Marka"":""Ospel"",""Typ gniazda"":""Gniazdo"",""Uziemienie"":""Z uziemieniem"",""Kolor"":""biały"",""Rodzaj gniazda"":""ścienne"",""Informacje dodatkowe"":""gniazdo rozbieralne"",""Kod producenta"":""GP-2GZ/00"",""EAN (GTIN)"":""5907577451431""}";https://upload.cdn.baselinker.com/products/3006376/6cd7663ef09ba74ecebea6fd86d488d7.jpg
251406941;Gniazdo potrójne EURO białe GP-3G/M/00 Ospel As;GP-3G/m/00/OSP;5907577451516;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As renomowanej marki Ospel to synonim klasycznej elegancji i subtelnej kolorystyki. Doskonała do każdego nowoczesnego wnętrza.  Produkty wyprodukowane zostały z najwyższej  jakości tworzywa oraz metalu. Ponadczasowe wzornictwo czynią gniazdo potrójne EURO Ospel uniwersalnym i niezastąpionym.</p>

<p>Ospel As gniazdo potrójne EURO białe GP-3G/M/00</p><p>Gniazdo potrójne EURO  z serii Ospel As idealnie sprawdzi się w czasie remontu  lub urządzania domu, kiedy konieczne jest wykonanie instalacji elektrycznej. Wzornictwo oparte zostało na kwadracie o wyraźnie zarysowanych rogach i  będzie nierzucającym się  elementem wnętrza.  Seria As  powstałą z myślą o osobach, którzy lubią klasyczny styl i proste kolory. Gniazdo EURO wykonane jest z wytrzymałego i łatwego w utrzymaniu w czystości tworzywa sztucznego oraz metalu o naturalnym wykończeniu powierzchni. Gniazdo pasuje do ramek z serii Ospel As.</p><p>Dane techniczne produktu:</p>

 	<p>Prąd znamionowy: 2,5A</p>
 	<p>Napięcie znamionowe: 250V</p>
 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 45</p>
 	<p>Głębokość wbudowania (mm): 27</p>
 	<p>Kod EAN: 5907577451516</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Przeznaczenie"":""Elektryczne"",""Marka"":""Ospel"",""Liczba gniazdek"":""3"",""Typ gniazda"":""Gniazdo"",""Uziemienie"":""Bez uziemienia"",""Kolor"":""biały"",""Rodzaj gniazda"":""ścienne"",""Kod producenta"":""GP-3G/M/00"",""EAN (GTIN)"":""5907577451516""}";https://upload.cdn.baselinker.com/products/3006376/a51933b9dc5126fa06c6ab99c764d1b6.jpg
251406943;Gniazdo antenowe typu F pojedyncze białe GPA-1GF/M/00 Ospel As;GPA-1GF/m/00/OSP;5907577458751;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As renomowanej marki Ospel to kolekcja zaprojektowana z myślą o osobach zdecydowanych. Odznacza się geometryczną formą przełamaną delikatną krzywizną ramek, dzięki czemu będzie interesującym  detalem w każdym wnętrzu. Wysoka jakość i wykonanie z dbałością o każdy szczegół czyni gniazda i ramki Ospel As wyborem na lata.</p>

<p>Ospel As gniazdo antenowe typu F pojedyncze białe GPA-1GF/M/00</p><p>Gniazdo antenowe typu F  z serii Ospel idealnie sprawdzi się w czasie remontu i urządzania domu. Wraz z innymi produktami serii pomoże w prosty sposób podłączyć domowe centrum rozrywki. Gniazdo wykonane jest z bardzo trwałego tworzywa sztucznego oraz metalu z naturalnym wykończeniem powierzchni, dzięki czemu jest nie tylko wytrzymałe, ale również łatwe w utrzymaniu czystości. Gniazdo antenowe typu F pojedyncze jest kompatybilne z pozostałym asortymentem kolekcji.</p><p>Dane techniczne produktu:</p>

 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 34</p>
 	<p>Głębokość wbudowania (mm): 24</p>
 	<p>Kod EAN: 5907577458751</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Przeznaczenie"":""Antenowe"",""Marka"":""Ospel"",""Typ gniazda"":""Gniazdo"",""Kolor"":""biały"",""Rodzaj gniazda"":""ścienne"",""Informacje dodatkowe"":""gniazdo rozbieralne"",""Kod producenta"":""GPA-1GF/M/00"",""EAN (GTIN)"":""5907577458751""}";https://upload.cdn.baselinker.com/products/3006376/ac58eb83d6fbf26ee8a3f638b5ced780.jpg
251406944;Gniazdo antenowe typu F podwójne białe GPA-2GF/M/00 Ospel As;GPA-2GF/m/00/OSP;5907577455668;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As popularnej marki Ospel to szeroki asortyment produktów zaprojektowany z myślą o osobach, które cenią sobie klasyczne wzornictwo i stonowaną kolorystykę . Serię charakteryzuje geometryczna forma przełamana delikatną krzywizną ramek, dzięki czemu gniazdo będzie interesującym elementem wystroju wnętrza. Doskonała jakość i wykonanie z dbałością o każdy szczegół czyni gniazda i ramki Ospel As produktem, który będzie służył przez lata.</p>

<p>Ospel As gniazdo antenowe typu F podwójne białe GPA-2GF/M/00</p><p>Gniazdo podwójne antenowe typu F  marki Ospel idealnie sprawdzi się podczas urządzania domu lub mieszkania. Razem z pozostałymi produktami serii pomoże w szybki sposób podłączyć domowe centrum rozrywki. Gniazdo wykonane jest z bardzo wytrzymałego tworzywa sztucznego i metalu o naturalnym wykończeniu powierzchni, dzięki czemu jest nie tylko wytrzymałe, ale również łatwe w utrzymaniu w czystości. Gniazdo antenowe typu F podwójne jest kompatybilne z pozostałymi produktami kolekcji.</p><p>Dane techniczne produktu:</p>

 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 34</p>
 	<p>Głębokość wbudowania (mm): 24</p>

		</section>
	</div>
</section>";"{""Stan"":""Nowy"",""Przeznaczenie"":""Antenowe"",""EAN (GTIN)"":""5907577451561"",""Kod producenta"":""GPA-GK/m/00"",""Marka"":""Ospel"",""Typ gniazda"":""Gniazdo"",""Rodzaj gniazda"":""ścienne"",""Kolor"":""biały"",""Informacje dodatkowe"":""gniazdo rozbieralne""}";https://upload.cdn.baselinker.com/products/3006376/e110b1e0dafad330359bb1700d4be7c2.jpg
251406945;Łącznik schodowy podwójny biały ŁP-10G/M/00 Ospel As;ŁP-10G/m/00/OSP;5907577451219;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As polskiego producenta Ospel to bogaty wybór gniazdek elektrycznych, łączników i ramek wielokrotnych, które można łączyć w dowolne konfiguracje, tak aby idealnie pasowały do Twojego wnętrza. Zastosowane doskonałej jakości tworzywa oraz ponadczasowe wzornictwo czynią łącznik podwójny schodowy Ospel uniwersalnym i niezawodnym.</p>

<p>Ospel As łącznik podwójny schodowy biały  ŁP-10G/M/00</p><p>Łącznik podwójny schodowy  z serii Ospel As idealnie sprawdzi się na każdej klatce schodowej. Projekt z wyraźnie zarysowanymi rogami będzie subtelnym elementem wyposażenia.  Seria zaprojektowana z myślą o ludziach, dla których istotna jest klasyka i stonowana kolorystyka. Łącznik schodowy  wyprodukowany wytrzymałego tworzywa sztucznego oraz metalu o naturalnym wykończeniu powierzchni. Producent zadbał o każdy szczegół. Łącznik schodowy jest kompatybilny z innymi produktami serii As.</p><p>Dane techniczne produktu:</p>

 	<p>Prąd znamionowy: 10AX</p>
 	<p>Napięcie znamionowe: 250V</p>
 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 40</p>
 	<p>Głębokość wbudowania (mm): 25</p>
 	<p>Kod EAN: 5907577451219</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Rodzaj produktu"":""wyłącznik schodowy"",""Typ"":""Podtynkowy"",""Marka"":""Ospel"",""EAN (GTIN)"":""5907577451219"",""Rodzaj"":""wyłącznik"",""Liczba klawiszy"":""Podwójny"",""Kolor"":""biały"",""Kod producenta"":""ŁP-10G/M/00""}";https://upload.cdn.baselinker.com/products/3006376/c15686b092ac13e81435a25e92e00686.jpg
251406947;Łącznik schodowy biały ŁP-3G/M/00 Ospel As;ŁP-3G/m/00/OSP;5907577451073;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As polskiej marki Ospel to bogaty wybór osprzętu elektroinstalacyjnego, w tym gniazdek elektrycznych, łączników i ramek wielokrotnych, które można łączyć w dowolne konfiguracje zgodnie z zapotrzebowaniem. Zastosowane doskonałej jakości tworzywa oraz ponadczasowe wzornictwo czynią łącznik  schodowy Ospel  rozwiązaniem uniwersalnym i niezawodnym.</p><p>Ospel As łącznik schodowy biały ŁP-3G/M/00</p><p>Łącznik schodowy  z serii Ospel As idealnie sprawdzi się na każdej klatce schodowej.  W parze z innym łącznikiem schodowym pozwala sterować oświetleniem z dwóch miejsc.    Łącznik schodowy jest kompatybilny z innymi produktami serii As, w tym z ramkami wielokrotnymi.</p><p>Dane techniczne produktu</p>

 	<p>Prąd znamionowy: 10AX</p>
 	<p>Napięcie znamionowe: 250V</p>
 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 40</p>
 	<p>Głębokość wbudowania (mm): 25</p>
 	<p>Kod EAN: 5907577451073</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Rodzaj produktu"":""wyłącznik schodowy"",""Typ"":""Podtynkowy"",""Marka"":""Ospel"",""Rodzaj"":""wyłącznik"",""Liczba klawiszy"":""Pojedynczy"",""Kolor"":""biały"",""Kod producenta"":""ŁP-3G/m/00"",""EAN (GTIN)"":""5907577451073""}";https://upload.cdn.baselinker.com/products/3006376/d9d8993ff9badec62093178f08b89e2d.jpg
251406948;Łącznik krzyżowy biały ŁP-4G/M/00 Ospel As;ŁP-4G/m/00/OSP;5907577451097;OSPEL;"<section class=""section"">
	<div class=""item item-12"">
		<section class=""text-item"">
<p>Seria As polskiego producenta Ospel to bogaty wybór gniazdek elektrycznych, łączników i ramek wielokrotnych, które możesz ze sobą dowolnie miksować.Wyprodukowane z  doskonałej jakości tworzywa, są niezawodne i bardzo uniwersalne.</p><p>Ospel As łącznik krzyżowy ŁP-4G/M/00</p><p>Ospel As łącznik krzyżowy  umieszcza się pomiędzy łącznikami schodowymi, w miejscach gdzie potrzebne jest sterowanie oświetleniem w kilku miejscach. Idealnym przykładem są półpiętra. Łącznik nie posiada w zestawie ramki. Pasuje do ramek wielokrotnych serii Ospel As.</p><p>Dane techniczne produktu</p>

 	<p>Prąd znamionowy: 10AX</p>
 	<p>Napięcie znamionowe: 250V</p>
 	<p>Stopień ochrony (IP): IP20</p>
 	<p>Sposób montażu: Montaż podtynkowy pazurkowy /-śrubowy</p>
 	<p>Materiał: Tworzywo sztuczne, metal</p>
 	<p>Wykończenie powierzchni: Naturalny</p>
 	<p>Podświetlenie: Brak</p>
 	<p>Typ zacisków: Gwintowe</p>
 	<p>Szerokość osprzętu (mm): 71</p>
 	<p>Wysokość osprzętu (mm): 71</p>
 	<p>Głębokość osprzętu (mm): 40</p>
 	<p>Głębokość wbudowania (mm): 25</p>
 	<p>Kod EAN: 5907577451097</p>

		</section>
	</div>
</section>

";"{""Stan"":""Nowy"",""Rodzaj produktu"":""wyłącznik krzyżowy"",""Typ"":""Podtynkowy"",""Marka"":""Ospel"",""Rodzaj"":""wyłącznik"",""Liczba klawiszy"":""Pojedynczy"",""Kolor"":""biały"",""Kod producenta"":""ŁP-4G/m/00"",""EAN (GTIN)"":""5907577451097""}";https://upload.cdn.baselinker.com/products/3006376/80c667a133a4795c04e093352af283a6.jpg
