PRODUKTY ZAREJESTROWANE Z KATALOGÓW PRODUCENTÓW
LP;Kod towaru;Nazwa towaru;Nazwa dodatkowa;Kod producenta;JM;Cena netto;Waluta
1;"DKZW1K/42/KON";"Klawisze do mechanizmu SZW1KM: kaszmirow";"y";"DKZW1K/42";"szt";18,65;"PLN"
2;"DKZW2/42/KON";"Klawisze do mechanizmów: SZP2MR, SZW2MR:";" kaszmirowy";"DKZW2/42";"szt";24,15;"PLN"
3;"DEW2W.01/42/KON";"Sterownik podwójny oœwietleniowy, sterow";"any smartfonem [Wi-Fi] - SWITCH D: 2x5 A, 230 V, (modu³): kaszmirowy";"DEW2W.01/42";"szt";225,85;"PLN"
4;"DEW1WA.01/42/KON";"Sterownik pojedynczy oœwietleniowy z wbu";"dowanym pomiarem energii, sterowany smartfonem [Wi-Fi] - SWITCH: 1x16 A, 230 V, (modu³): kaszmirowy";"DEW1WA.01/42";"szt";225,85;"PLN"
5;"DENB1W.01/42/KON";"Pilot œcienny steruj¹cy bezpoœrednio inn";"ymi urz¹dzeniami Simon GO, max 28 akcji, [Wi-Fi] - CONTROL B: zasilany bateri¹ CR123 (modu³): kaszmirowy";"DENB1W.01/42";"szt";226,65;"PLN"
6;"DKE00/42/KON";"Klawisz pojedynczy do ³¹czników i sterow";"ników elektronicznych";"DKE00/42";"szt";14,6;"PLN"
7;"DKE02/42/KON";"Klawisz z piktogramem ""poziom"" do ³¹czni";"ków i sterowników elektronicznych";"DKE02/42";"szt";14,6;"PLN"
8;"DKE03/42/KON";"Klawisz z piktogramem ""pion"" do ³¹cznikó";"w i sterowników elektronicznych";"DKE03/42";"szt";14,6;"PLN"
9;"DKE04/42/KON";"Klawisz z piktogramem ""krzy¿"" do ³¹cznik";"ów i sterowników elektronicznych";"DKE04/42";"szt";14,6;"PLN"
10;"DKE11/42/KON";"Klawisz dla pojedynczej rolety do ³¹czni";"ków i sterowników elektronicznych";"DKE11/42";"szt";14,6;"PLN"
11;"DKE12/42/KON";"Klawisz dla podwójnej rolety do ³¹cznikó";"w i sterowników elektronicznych";"DKE12/42";"szt";14,6;"PLN"
12;"DKE13/42/KON";"Klawisz dla grupy rolet do ³¹czników i s";"terowników elektronicznych";"DKE13/42";"szt";14,6;"PLN"
13;"DESW1W.01/42/KON";"Œciemniacz do pasków LED-owych 12-24 V, ";"1 kana³owy, sterowany smartfonem [Wi-Fi] - DIMMER W (modu³): kaszmirowy";"DESW1W.01/42";"szt";217,5;"PLN"
14;"DESRGB1W.01/42/KON";"Œciemniacz do pasków RGBW 12-24 V, 4 kan";"a³owy, sterowany smartfonem [Wi-Fi] - DIMMER RGB (modu³): kaszmirowy";"DESRGB1W.01/42";"szt";225,85;"PLN"
15;"DESL1W.01/42/KON";"Œciemniacz do ¿arówek LED-owych, sterowa";"ny smartfonem [Wi-Fi] - DIMMER: 15-200 W, 230 V, (modu³): kaszmirowy";"DESL1W.01/42";"szt";328,05;"PLN"
