product_id;name;sku;ean;manufacturer_name;description;features;images_urls
;Oprawa High Bay LED HB PRO STRONG 100W 8500-17000lm 4000K IP65 szary Kanlux 27163;27163/KAN;5905339271631;Kanlux;"<p>Oprawa High Bay LED HB PRO STRONG 100W 8500-17000lm 4000K IP65 szary to produkt marki Kanlux przeznaczony do hal produkcyjnych, magazynów, warsztatów, centrów logistycznych i innych wysokich pomieszczeń technicznych. Moc 100W i strumień 8500-17000lm są dobrane do pracy z większej wysokości, a kąt 90° pomaga prowadzić światło na stanowiska, regały i ciągi komunikacyjne. Barwa 4000K poprawia czytelność detali, a stopień ochrony IP65 ułatwia pracę w wymagającym otoczeniu.</p>

<h2>Oprawa High Bay LED HB PRO STRONG 100W 8500-17000lm 4000K IP65 szary - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa High Bay LED HB PRO STRONG 100W 8500-17000lm 4000K IP65 szary daje mocne światło robocze do wysokich pomieszczeń.</li>
  <li>- Strumień 8500-17000lm i kąt 90° pomagają doświetlić stanowiska pracy oraz alejki magazynowe.</li>
  <li>- Stopień ochrony IP65 i obudowa z materiału stop aluminium sprawdzają się w wymagającym otoczeniu.</li>
  <li>- Barwa 4000K zapewnia czytelne światło do kontroli detali i codziennej pracy.</li>
</ul>

<p>W oświetleniu halowym duże znaczenie ma wysokość montażu, rozstaw opraw i kierunek świecenia. Seria HB PRO STRONG jest przeznaczona do przestrzeni, w których światło pracuje przez wiele godzin i musi być przewidywalne na całej powierzchni roboczej. Przy porównywaniu wariantów warto zestawić strumień świetlny, kąt świecenia oraz odporność IP65 z realnymi warunkami obiektu.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: HB PRO STRONG</li>
<li>- Model: HB PRO STRONG 100W-NW</li>
<li>- Kod producenta: 27163</li>
<li>- EAN: 5905339271631</li>
<li>- Typ produktu: High Bay przemysłowy</li>
<li>- Moc [W]: 100W</li>
<li>- Napięcie [V]: 220-240 AC</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 8500-17000lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK08</li>
<li>- Kąt świecenia: 90°</li>
<li>- Kolor: szary</li>
<li>- Materiał: stop aluminium</li>
<li>- Długość: 0.3</li>
<li>- Wysokość: 112mm</li>
<li>- Średnica: 299mm</li>
<li>- Gwarancja: 5 lat</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339271631"",""Kod producenta"":""27163"",""Typ produktu"":""High Bay przemysłowy"",""Seria"":""HB PRO STRONG"",""Model"":""HB PRO STRONG 100W-NW"",""Moc [W]"":""100W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""8500-17000lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK08"",""Kąt świecenia"":""90°"",""Kolor"":""szary"",""Materiał"":""stop aluminium"",""Długość"":""0.3"",""Wysokość"":""112mm"",""Średnica"":""299mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/27163.jpg
;Oprawa High Bay LED HB PRO STRONG 150W 25500lm 4000K IP65 czarny Kanlux 27158;27158/KAN;5905339271587;Kanlux;"<p>Oprawa High Bay LED HB PRO STRONG 150W 25500lm 4000K IP65 czarny to produkt marki Kanlux przeznaczony do hal produkcyjnych, magazynów, warsztatów, centrów logistycznych i innych wysokich pomieszczeń technicznych. Moc 150W i strumień 25500lm są dobrane do pracy z większej wysokości, a kąt 90° pomaga prowadzić światło na stanowiska, regały i ciągi komunikacyjne. Barwa 4000K poprawia czytelność detali, a stopień ochrony IP65 ułatwia pracę w wymagającym otoczeniu.</p>

<h2>Oprawa High Bay LED HB PRO STRONG 150W 25500lm 4000K IP65 czarny - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa High Bay LED HB PRO STRONG 150W 25500lm 4000K IP65 czarny daje mocne światło robocze do wysokich pomieszczeń.</li>
  <li>- Strumień 25500lm i kąt 90° pomagają doświetlić stanowiska pracy oraz alejki magazynowe.</li>
  <li>- Stopień ochrony IP65 i obudowa z materiału stop aluminium sprawdzają się w wymagającym otoczeniu.</li>
  <li>- Barwa 4000K zapewnia czytelne światło do kontroli detali i codziennej pracy.</li>
</ul>

<p>W oświetleniu halowym duże znaczenie ma wysokość montażu, rozstaw opraw i kierunek świecenia. Seria HB PRO STRONG jest przeznaczona do przestrzeni, w których światło pracuje przez wiele godzin i musi być przewidywalne na całej powierzchni roboczej. Przy porównywaniu wariantów warto zestawić strumień świetlny, kąt świecenia oraz odporność IP65 z realnymi warunkami obiektu.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: HB PRO STRONG</li>
<li>- Model: HB PRO STRONG 150W-NW</li>
<li>- Kod producenta: 27158</li>
<li>- EAN: 5905339271587</li>
<li>- Typ produktu: High Bay przemysłowy</li>
<li>- Moc [W]: 150W</li>
<li>- Napięcie [V]: 220-240 AC</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 25500lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK10</li>
<li>- Kąt świecenia: 90°</li>
<li>- Kolor: czarny</li>
<li>- Materiał: stop aluminium</li>
<li>- Długość: 0.3</li>
<li>- Wysokość: 112mm</li>
<li>- Średnica: 299mm</li>
<li>- Gwarancja: 5 lat</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339271587"",""Kod producenta"":""27158"",""Typ produktu"":""High Bay przemysłowy"",""Seria"":""HB PRO STRONG"",""Model"":""HB PRO STRONG 150W-NW"",""Moc [W]"":""150W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""25500lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK10"",""Kąt świecenia"":""90°"",""Kolor"":""czarny"",""Materiał"":""stop aluminium"",""Długość"":""0.3"",""Wysokość"":""112mm"",""Średnica"":""299mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/27158.jpg
;Oprawa High Bay LED HB PRO STRONG 200W 17000-34000lm 4000K IP65 szary Kanlux 27159;27159/KAN;5905339271594;Kanlux;"<p>Oprawa High Bay LED HB PRO STRONG 200W 17000-34000lm 4000K IP65 szary to produkt marki Kanlux przeznaczony do hal produkcyjnych, magazynów, warsztatów, centrów logistycznych i innych wysokich pomieszczeń technicznych. Moc 200W i strumień 17000-34000lm są dobrane do pracy z większej wysokości, a kąt 90° pomaga prowadzić światło na stanowiska, regały i ciągi komunikacyjne. Barwa 4000K poprawia czytelność detali, a stopień ochrony IP65 ułatwia pracę w wymagającym otoczeniu.</p>

<h2>Oprawa High Bay LED HB PRO STRONG 200W 17000-34000lm 4000K IP65 szary - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa High Bay LED HB PRO STRONG 200W 17000-34000lm 4000K IP65 szary daje mocne światło robocze do wysokich pomieszczeń.</li>
  <li>- Strumień 17000-34000lm i kąt 90° pomagają doświetlić stanowiska pracy oraz alejki magazynowe.</li>
  <li>- Stopień ochrony IP65 i obudowa z materiału stop aluminium sprawdzają się w wymagającym otoczeniu.</li>
  <li>- Barwa 4000K zapewnia czytelne światło do kontroli detali i codziennej pracy.</li>
</ul>

<p>W oświetleniu halowym duże znaczenie ma wysokość montażu, rozstaw opraw i kierunek świecenia. Seria HB PRO STRONG jest przeznaczona do przestrzeni, w których światło pracuje przez wiele godzin i musi być przewidywalne na całej powierzchni roboczej. Przy porównywaniu wariantów warto zestawić strumień świetlny, kąt świecenia oraz odporność IP65 z realnymi warunkami obiektu.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: HB PRO STRONG</li>
<li>- Model: HB PRO STRONG 200W-NW</li>
<li>- Kod producenta: 27159</li>
<li>- EAN: 5905339271594</li>
<li>- Typ produktu: High Bay przemysłowy</li>
<li>- Moc [W]: 200W</li>
<li>- Napięcie [V]: 220-240 AC</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 17000-34000lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK08</li>
<li>- Kąt świecenia: 90°</li>
<li>- Kolor: szary</li>
<li>- Materiał: stop aluminium</li>
<li>- Długość: 0.3</li>
<li>- Wysokość: 115mm</li>
<li>- Średnica: 336mm</li>
<li>- Gwarancja: 5 lat</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339271594"",""Kod producenta"":""27159"",""Typ produktu"":""High Bay przemysłowy"",""Seria"":""HB PRO STRONG"",""Model"":""HB PRO STRONG 200W-NW"",""Moc [W]"":""200W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""17000-34000lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK08"",""Kąt świecenia"":""90°"",""Kolor"":""szary"",""Materiał"":""stop aluminium"",""Długość"":""0.3"",""Wysokość"":""115mm"",""Średnica"":""336mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/27159.jpg
;Oprawa High Bay LED HB UFO LED 100W 10000lm 4000K IP65 czarny Kanlux 31405;31405/KAN;8595665314057;Kanlux;;"{""Producent"":""Kanlux"",""EAN (GTIN)"":""8595665314057"",""Kod producenta"":""31405"",""Typ produktu"":""High Bay UFO"",""Seria"":""HB UFO LED"",""Model"":""HB UFO LED 100W-NW"",""Moc [W]"":""100W"",""Napięcie [V]"":""MLS"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""10000lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK05"",""Kąt świecenia"":""110°"",""Kolor"":""czarny"",""Materiał"":""stop aluminium"",""Długość"":""0.42"",""Wysokość"":""38mm"",""Średnica"":""254mm""}";https://www.kanlux.com/storage/products/main/big/31405.jpg
;Oprawa High Bay LED HB UFO LED 150W 15000lm 4000K IP65 czarny Kanlux 31406;31406/KAN;8595665314064;Kanlux;"<p>Oprawa High Bay LED HB UFO LED 150W 15000lm 4000K IP65 czarny to produkt marki Kanlux przeznaczony do hal produkcyjnych, magazynów, warsztatów, centrów logistycznych i innych wysokich pomieszczeń technicznych. Moc 150W i strumień 15000lm są dobrane do pracy z większej wysokości, a kąt 110° pomaga prowadzić światło na stanowiska, regały i ciągi komunikacyjne. Barwa 4000K poprawia czytelność detali, a stopień ochrony IP65 ułatwia pracę w wymagającym otoczeniu.</p>

<h2>Oprawa High Bay LED HB UFO LED 150W 15000lm 4000K IP65 czarny - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa High Bay LED HB UFO LED 150W 15000lm 4000K IP65 czarny daje mocne światło robocze do wysokich pomieszczeń.</li>
  <li>- Strumień 15000lm i kąt 110° pomagają doświetlić stanowiska pracy oraz alejki magazynowe.</li>
  <li>- Stopień ochrony IP65 i obudowa z materiału stop aluminium sprawdzają się w wymagającym otoczeniu.</li>
  <li>- Barwa 4000K zapewnia czytelne światło do kontroli detali i codziennej pracy.</li>
</ul>

<p>W oświetleniu halowym duże znaczenie ma wysokość montażu, rozstaw opraw i kierunek świecenia. Seria HB UFO LED jest przeznaczona do przestrzeni, w których światło pracuje przez wiele godzin i musi być przewidywalne na całej powierzchni roboczej. Przy porównywaniu wariantów warto zestawić strumień świetlny, kąt świecenia oraz odporność IP65 z realnymi warunkami obiektu.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: HB UFO LED</li>
<li>- Model: HB UFO LED 150W-NW</li>
<li>- Kod producenta: 31406</li>
<li>- EAN: 8595665314064</li>
<li>- Typ produktu: High Bay UFO</li>
<li>- Moc [W]: 150W</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 15000lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK05</li>
<li>- Kąt świecenia: 110°</li>
<li>- Kolor: czarny</li>
<li>- Materiał: stop aluminium</li>
<li>- Długość: 0.42</li>
<li>- Wysokość: 39mm</li>
<li>- Średnica: 300mm</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""8595665314064"",""Kod producenta"":""31406"",""Typ produktu"":""High Bay UFO"",""Seria"":""HB UFO LED"",""Model"":""HB UFO LED 150W-NW"",""Moc [W]"":""150W"",""Napięcie [V]"":""MLS"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""15000lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK05"",""Kąt świecenia"":""110°"",""Kolor"":""czarny"",""Materiał"":""stop aluminium"",""Długość"":""0.42"",""Wysokość"":""39mm"",""Średnica"":""300mm""}";https://www.kanlux.com/storage/products/main/big/31406.jpg
;Oprawa High Bay LED HB UFO LED 200W 20000lm 4000K IP65 czarny Kanlux 31407;31407/KAN;8595665314071;Kanlux;"<p>Oprawa High Bay LED HB UFO LED 200W 20000lm 4000K IP65 czarny to produkt marki Kanlux przeznaczony do hal produkcyjnych, magazynów, warsztatów, centrów logistycznych i innych wysokich pomieszczeń technicznych. Moc 200W i strumień 20000lm są dobrane do pracy z większej wysokości, a kąt 110° pomaga prowadzić światło na stanowiska, regały i ciągi komunikacyjne. Barwa 4000K poprawia czytelność detali, a stopień ochrony IP65 ułatwia pracę w wymagającym otoczeniu.</p>

<h2>Oprawa High Bay LED HB UFO LED 200W 20000lm 4000K IP65 czarny - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa High Bay LED HB UFO LED 200W 20000lm 4000K IP65 czarny daje mocne światło robocze do wysokich pomieszczeń.</li>
  <li>- Strumień 20000lm i kąt 110° pomagają doświetlić stanowiska pracy oraz alejki magazynowe.</li>
  <li>- Stopień ochrony IP65 i obudowa z materiału stop aluminium sprawdzają się w wymagającym otoczeniu.</li>
  <li>- Barwa 4000K zapewnia czytelne światło do kontroli detali i codziennej pracy.</li>
</ul>

<p>W oświetleniu halowym duże znaczenie ma wysokość montażu, rozstaw opraw i kierunek świecenia. Seria HB UFO LED jest przeznaczona do przestrzeni, w których światło pracuje przez wiele godzin i musi być przewidywalne na całej powierzchni roboczej. Przy porównywaniu wariantów warto zestawić strumień świetlny, kąt świecenia oraz odporność IP65 z realnymi warunkami obiektu.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: HB UFO LED</li>
<li>- Model: HB UFO LED 200W-NW</li>
<li>- Kod producenta: 31407</li>
<li>- EAN: 8595665314071</li>
<li>- Typ produktu: High Bay UFO</li>
<li>- Moc [W]: 200W</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 20000lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK05</li>
<li>- Kąt świecenia: 110°</li>
<li>- Kolor: czarny</li>
<li>- Materiał: stop aluminium</li>
<li>- Długość: 0.42</li>
<li>- Wysokość: 41mm</li>
<li>- Średnica: 330mm</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""8595665314071"",""Kod producenta"":""31407"",""Typ produktu"":""High Bay UFO"",""Seria"":""HB UFO LED"",""Model"":""HB UFO LED 200W-NW"",""Moc [W]"":""200W"",""Napięcie [V]"":""MLS"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""20000lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK05"",""Kąt świecenia"":""110°"",""Kolor"":""czarny"",""Materiał"":""stop aluminium"",""Długość"":""0.42"",""Wysokość"":""41mm"",""Średnica"":""330mm""}";https://www.kanlux.com/storage/products/main/big/31407.jpg
;Oprawa hermetyczna LED MAH LED HI 60cm 19W 2400lm 126lm/W 4000K IP65 biały Kanlux 22606;22606/KAN;5905339226068;Kanlux;;"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339226068"",""Kod producenta"":""22606"",""Typ produktu"":""oprawa hermetyczna LED"",""Seria"":""MAH LED HI"",""Model"":""MAH LED HI 19W-NW RYF"",""Moc [W]"":""19W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""2400lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK08"",""Kąt świecenia"":""110°"",""Kolor"":""biały"",""Materiał"":""PC"",""Wymiary"":""60cm x 80cm"",""Długość"":""60cm"",""Szerokość"":""80cm"",""Wysokość"":""70mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/22606.jpg
;Oprawa hermetyczna LED MAH LED HI 120cm 26W 3900lm 150lm/W 4000K IP65 biały Kanlux 22609;22609/KAN;5905339226099;Kanlux;;"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339226099"",""Kod producenta"":""22609"",""Typ produktu"":""oprawa hermetyczna LED"",""Seria"":""MAH LED HI"",""Model"":""MAH LED HI 26W-NW RYF"",""Moc [W]"":""26W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""3900lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK08"",""Kąt świecenia"":""110°"",""Kolor"":""biały"",""Materiał"":""PC"",""Wymiary"":""120cm x 80cm"",""Długość"":""120cm"",""Szerokość"":""80cm"",""Wysokość"":""70mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/22609.jpg
;Oprawa hermetyczna LED MAH LED HI 120cm 38W 5000lm 132lm/W 4000K IP65 biały Kanlux 22607;22607/KAN;5905339226075;Kanlux;"<p>Oprawa hermetyczna LED MAH LED HI 120cm 38W 5000lm 132lm/W 4000K IP65 biały to produkt marki Kanlux przeznaczony do garaży, zapleczy, piwnic, warsztatów, korytarzy technicznych i miejsc narażonych na kurz lub wilgoć. Moc 38W i strumień 5000lm pomagają dobrać ilość światła do garażu, warsztatu, zaplecza lub korytarza technicznego. Stopień ochrony IP65 chroni oprawę w miejscach narażonych na kurz i wilgoć, a długość 120cm ułatwia planowanie rozmieszczenia punktów.</p>

<h2>Oprawa hermetyczna LED MAH LED HI 120cm 38W 5000lm 132lm/W 4000K IP65 biały - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa hermetyczna LED MAH LED HI 120cm 38W 5000lm 132lm/W 4000K IP65 biały zapewnia stabilne oświetlenie robocze w pomieszczeniach technicznych i gospodarczych.</li>
  <li>- Parametry 38W i 5000lm pomagają dobrać oprawę do wielkości pomieszczenia.</li>
  <li>- Stopień ochrony IP65 ogranicza wpływ kurzu i wilgoci na codzienne użytkowanie.</li>
  <li>- Konstrukcja z materiału PC oraz wymiary 120cm x 80cm ułatwiają zaplanowanie montażu.</li>
</ul>

<p>W oprawach technicznych liczy się nie tylko jasność, ale też odporność obudowy i łatwe utrzymanie czystości. Seria MAH LED HI będzie dobrym wyborem do miejsc, w których oprawa ma działać regularnie i bez skomplikowanej obsługi. Przed montażem warto porównać długość, sposób zasilania i stopień ochrony IP65 z warunkami konkretnego pomieszczenia.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: MAH LED HI</li>
<li>- Model: MAH LED HI 38W-NW RYF</li>
<li>- Kod producenta: 22607</li>
<li>- EAN: 5905339226075</li>
<li>- Typ produktu: oprawa hermetyczna LED</li>
<li>- Moc [W]: 38W</li>
<li>- Napięcie [V]: 220-240 AC</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 5000lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK08</li>
<li>- Kąt świecenia: 110°</li>
<li>- Kolor: biały</li>
<li>- Materiał: PC</li>
<li>- Wymiary: 120cm x 80cm</li>
<li>- Długość: 120cm</li>
<li>- Szerokość: 80cm</li>
<li>- Wysokość: 70mm</li>
<li>- Gwarancja: 5 lat</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339226075"",""Kod producenta"":""22607"",""Typ produktu"":""oprawa hermetyczna LED"",""Seria"":""MAH LED HI"",""Model"":""MAH LED HI 38W-NW RYF"",""Moc [W]"":""38W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""5000lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK08"",""Kąt świecenia"":""110°"",""Kolor"":""biały"",""Materiał"":""PC"",""Wymiary"":""120cm x 80cm"",""Długość"":""120cm"",""Szerokość"":""80cm"",""Wysokość"":""70mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/22607.jpg
;Oprawa hermetyczna LED MAH LED HI 150cm 48W 6400lm 133lm/W 4000K IP65 biały Kanlux 22608;22608/KAN;5905339226082;Kanlux;"<p>Oprawa hermetyczna LED MAH LED HI 150cm 48W 6400lm 133lm/W 4000K IP65 biały to produkt marki Kanlux przeznaczony do garaży, zapleczy, piwnic, warsztatów, korytarzy technicznych i miejsc narażonych na kurz lub wilgoć. Moc 48W i strumień 6400lm pomagają dobrać ilość światła do garażu, warsztatu, zaplecza lub korytarza technicznego. Stopień ochrony IP65 chroni oprawę w miejscach narażonych na kurz i wilgoć, a długość 150cm ułatwia planowanie rozmieszczenia punktów.</p>

<h2>Oprawa hermetyczna LED MAH LED HI 150cm 48W 6400lm 133lm/W 4000K IP65 biały - czym wyróżnia się ten produkt?</h2>

<ul>
  <li>- Oprawa hermetyczna LED MAH LED HI 150cm 48W 6400lm 133lm/W 4000K IP65 biały zapewnia stabilne oświetlenie robocze w pomieszczeniach technicznych i gospodarczych.</li>
  <li>- Parametry 48W i 6400lm pomagają dobrać oprawę do wielkości pomieszczenia.</li>
  <li>- Stopień ochrony IP65 ogranicza wpływ kurzu i wilgoci na codzienne użytkowanie.</li>
  <li>- Konstrukcja z materiału PC oraz wymiary 150cm x 80cm ułatwiają zaplanowanie montażu.</li>
</ul>

<p>W oprawach technicznych liczy się nie tylko jasność, ale też odporność obudowy i łatwe utrzymanie czystości. Seria MAH LED HI będzie dobrym wyborem do miejsc, w których oprawa ma działać regularnie i bez skomplikowanej obsługi. Przed montażem warto porównać długość, sposób zasilania i stopień ochrony IP65 z warunkami konkretnego pomieszczenia.</p>

<h3>Specyfikacja techniczna</h3>

<ul>
<li>- Producent: Kanlux</li>
<li>- Seria: MAH LED HI</li>
<li>- Model: MAH LED HI 48W-NW RYF</li>
<li>- Kod producenta: 22608</li>
<li>- EAN: 5905339226082</li>
<li>- Typ produktu: oprawa hermetyczna LED</li>
<li>- Moc [W]: 48W</li>
<li>- Napięcie [V]: 220-240 AC</li>
<li>- Temperatura barwowa [K]: 4000K</li>
<li>- Barwa światła: Neutralna (3500-4500K)</li>
<li>- Strumień świetlny [lm]: 6400lm</li>
<li>- Stopień ochrony [IP]: IP65</li>
<li>- Klasa ochronności: IK08</li>
<li>- Kąt świecenia: 110°</li>
<li>- Kolor: biały</li>
<li>- Materiał: PC</li>
<li>- Wymiary: 150cm x 80cm</li>
<li>- Długość: 150cm</li>
<li>- Szerokość: 80cm</li>
<li>- Wysokość: 70mm</li>
<li>- Gwarancja: 5 lat</li>
</ul>";"{""Producent"":""Kanlux"",""EAN (GTIN)"":""5905339226082"",""Kod producenta"":""22608"",""Typ produktu"":""oprawa hermetyczna LED"",""Seria"":""MAH LED HI"",""Model"":""MAH LED HI 48W-NW RYF"",""Moc [W]"":""48W"",""Napięcie [V]"":""220-240 AC"",""Temperatura barwowa [K]"":""4000K"",""Barwa światła"":""Neutralna (3500-4500K)"",""Strumień świetlny [lm]"":""6400lm"",""Stopień ochrony [IP]"":""IP65"",""Klasa ochronności"":""IK08"",""Kąt świecenia"":""110°"",""Kolor"":""biały"",""Materiał"":""PC"",""Wymiary"":""150cm x 80cm"",""Długość"":""150cm"",""Szerokość"":""80cm"",""Wysokość"":""70mm"",""Gwarancja"":""5 lat""}";https://www.kanlux.com/storage/products/main/big/22608.jpg
